"refried spicy delicious beans",3,207.91
"baked MSG-free lasagna",50,157.61
"Chinese chicken breast nuggets",105,136.97
"refried baked mild green beans",40,43.03
"refried cheese MSG-free pasta",90,266.21
"shredded chicken chocolate cookies",15,123.98
"turkey baked MSG-free with potatoes",22,10.67
"shredded refried mild whole corn",125,50.92
"refried garbanzo beans",73,404.77
"Chinese baked delicious green beans",20,160.12
"shredded refried chunky chocolate",25,158.03
"Chinese spicy mild green beans",66,288.14
"Chinese chicken cookies pasta",20,433.98
"turkey spicy chicken breast with eggs",20,26.75
"baked MSG-free chocolate",44,101.97
"refried chicken breast with green beans",112,392.82
"chunky whole corn",48,471.6
"refried spicy beef with bacon",1,40.4
"cheese cookies with potatoes",51,399.64
"turkey baked mild pork gravy",32,239.73
"Chinese spicy cookies little shredded mansion",67,59.83
"Chinese cheese beef with pickled vegetables",47,175.82
"Chinese baked breast with potatoes",108,244.51
"spicy light pickled vegetables",96,354
"shredded chicken pork gravy",40,73.7
"refried cheese chunky whole corn",109,470.6
"refried chunky whole corn",120,330.81
"turkey mild green beans",20,463.48
"shredded refried beans with pork gravy",45,322.92
"refried baked MSG-free pork with rice",111,137.84
"Chinese spicy delicious pork with eggs",87,448.36
"Chinese baked delicious little pickled vegetables",12,68.03
"refried cheese beans with beef with eggs",45,4.48
"Chinese refried mild pork with rice",101,441.17
"refried chicken breast with eggs",101,255.55
"Chinese refried delicious light with rice",8,72.49
"Chinese cheese MSG-free green beans",72,238.62
"turkey chicken vegetables",36,20.83
"shredded spicy cookies light pickled vegetables",9,457.11
"shredded chicken mild beef with green beans",61,446.28
"Chinese cheese delicious pasta",89,188.67
"shredded refried chicken breast with bacon",75,113.33
"refried baked cookies light pickled vegetables",64,226.96
"spicy MSG-free beef with eggs",82,192.02
"Chinese cheese beef with bacon",22,195.4
"Chinese cheese chicken breast with eggs",52,201.47
"cheese MSG-free light pickled vegetables",23,382.08
"Chinese refried beans with little with eggs",30,186.13
"refried refried MSG-free whole corn",69,301.14
"refried spicy MSG-free little with eggs",18,83.42
"delicious little pickled vegetables",6,19.1
"spicy delicious little with eggs",55,188.78
"Chinese beans with green beans",17,25.58
"spicy chunky green beans",105,333.92
"turkey delicious beans",57,466.4
"MSG-free beef with gravy",125,120.9
"turkey chicken cookies little with eggs",2,27.59
"Chinese cheese MSG-free beans",45,455.33
"Chinese chunky pasta",13,28.92
"Chinese cheese garbanzo beans",94,168.26
"shredded spicy breast nuggets",63,376.82
"turkey cheese chunky drumsticks with rice",98,11.74
"cheese chunky beef with green beans",94,35.12
"chicken delicious little with eggs",86,391.54
"turkey chicken chunky drumsticks with eggs",121,274.01
"Chinese refried pork gravy",95,44.36
"Chinese chicken MSG-free little with eggs",88,198.68
"shredded cheese delicious little pickled vegetables",38,115.91
"baked chunky little shredded mansion",13,167.63
"refried cheese garbanzo beans",35,309.37
"turkey chicken mild chocolate",122,148.88
"refried MSG-free beef with pickled vegetables",66,292.6
"Chinese refried nuggets",86,353.17
"turkey cheese chunky drumsticks with eggs",51,415.72
"Chinese refried beans with green beans",48,461.86
"chicken chunky drumsticks with eggs",97,131.45
"refried cheese mild beef with bacon",22,48.42
"baked chicken breast with green beans",8,200.18
"refried refried beans with light with rice",75,425.9
"Chinese baked cookies green beans",12,162.37
"cheese little with eggs",79,50.31
"refried cheese delicious little shredded mansion",15,436.2
"turkey cookies light bacon",123,407.11
"turkey baked MSG-free pork with rice",1,161.97
"Chinese chicken delicious nuggets",86,75.02
"baked beans with pork with rice",70,147.64
"turkey spicy chicken breast with pickled vegetables",91,366.05
