Weight Limit    Min Weight    Max Weight   Quantity
200             4             50            5
200             4             50            8
200             4             50           11
200             4             50           14
200             4             50           17
200             4             50           20
200             4             50           23
200             4             50           26
200             4             50           29
200             4             50           32
                                         
600             4             50            5
600             4             50            8
600             4             50           11
600             4             50           14
600             4             50           17
600             4             50           20
600             4             50           23
600             4             50           26
600             4             50           29
600             4             50           32
